Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
11660,CA,Hydrogen and Electric Vehicle (EV) Charger Local Permitting Policies,"All cities and counties, including charter cities, must adopt an
ordinance that creates an expedited and streamlined permitting process
for EV chargers and hydrogen fueling stations. Cities and counties must
approve applications to install EV chargers within five to ten business
days, depending on the number of chargers proposed in the application.
Applications will be approved after 20 to 40 business days, if the
county or city does not approve the application, the building official
does not deny the application, or the city or county does not submit an
appeal. Each city or county must consult with the local fire department
or district and the utility director to develop the ordinance, which
must include a checklist of all requirements for EV chargers to be
eligible for expedited review. A complete application that is consistent
with the city or county ordinance must be approved, and entities
submitting incomplete applications must be notified of the necessary
required information to be granted expedited permit issuance. These
provisions must be met by September 30, 2025, by cities and counties
with populations above 250,000 residents. Cities and counties with
populations less than 250,000 residents must meet these provisions by
September 30, 2028.

(Reference [California Government Code 65850.7 and 65850.71](http://www.oal.ca.gov/) and [Assembly Bill 1418, 2024](http://www.oal.ca.gov/))",2015-10-08 00:00:00 UTC,2024-09-25 00:00:00 UTC,false,190,Laws and Regulations,"",2022-10-15 13:16:46 UTC,,,,"",ELEC|HY|PHEV,"",OTHER,STATION|GOV,http://www.oal.ca.gov/|http://www.oal.ca.gov/|https://leginfo.legislature.ca.gov/faces/home.xhtml|https://leginfo.legislature.ca.gov/faces/home.xhtml,amended,2024-09-25
13081,CA,Zero Electric Vehicle (ZEV) Office Authorization and Equity Assessment,"The California legislature established the ZEV Market Development Office
(Office) is established within the Governor's Office of Business and
Economic Development to serve as a point of contact for stakeholders to
provide feedback on California's ZEV goals and to direct the equitable
deployment of light-, medium-, and heavy-duty ZEVs, supporting
infrastructure, and ZEV workforce development. The Office must also
create an equity action plan as part of the [ZEV Market Development
Strategy](https://static.business.ca.gov/wp-content/uploads/2021/02/ZEV_Strategy_Feb2021.pdf).
The action plan must include recommendations to:

-   Improve access to ZEVs, supporting infrastructure, and ZEV
    transportation options in low-income, disadvantaged, and underserved
    communities; and,
-   Reduce pollution from transportation in low-income, disadvantaged,
    and underserved communities; and,
-   Support the ZEV industry and workforce in California.

The Office must track state progress toward achieving recommendations
included in the equity action plan.

(Reference [Assembly Bill 2427, 2024](http://www.oal.ca.gov/) and [California Government Code 12100.150)](http://www.oal.ca.gov/))",2022-09-16 00:00:00 UTC,2024-09-25 00:00:00 UTC,false,350,Laws and Regulations,"",2022-10-15 13:24:02 UTC,,,,"",ELEC|HY|PHEV,"",OTHER,GOV,http://www.oal.ca.gov/|https://leginfo.legislature.ca.gov/faces/home.xhtml|http://www.oal.ca.gov/,amended,2024-09-25
5359,CA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Compressed natural gas, hydrogen, electric, and plug-in hybrid electric
vehicles meeting specified California and federal emissions standards
and affixed with a California Department of Motor Vehicles (DMV) Clean
Air Vehicle sticker may use HOV lanes regardless of the number of
occupants in the vehicle. Blue stickers expire January 1, 2025; and
yellow, burgundy, and green stickers expire September 30, 2025.

Vehicles originally issued white, green, orange, purple, or red decals
are no longer eligible to participate in this program. Additionally, the
Income-Based CAV Decal Program expired January 1, 2024. Vehicles with
stickers are also eligible for reduced rates on or exemptions from toll
charges imposed on HOT lanes. For more information and restrictions,
including a list of qualifying vehicles and additional eligibility
requirements, see the California Air Resources Board [Carpool
Stickers](http://www.arb.ca.gov/msprog/carpool/carpool.htm) website.

(Reference [Assembly Bill 2678, 2024](http://www.oal.ca.gov/) and [California Vehicle Code 5205.5 and 21655.9](http://www.oal.ca.gov/))",2006-09-29 00:00:00 UTC,2024-09-24 00:00:00 UTC,false,25,State Incentives,"",2022-12-27 19:53:44 UTC,,,,"",ELEC|HY|NG|PHEV,EXEM,"",FLEET|GOV|IND,http://leginfo.legislature.ca.gov|http://leginfo.legislature.ca.gov/|http://leginfo.legislature.ca.gov/|http://www.oal.ca.gov/|http://www.oal.ca.gov/,amended,2024-09-24
12069,CA,Zero Emission Vehicle (ZEV) and Near-ZEV Weight Exemption,"ZEVs and near-ZEVs may exceed the state's gross vehicle weight limits by
an amount equal to the difference of the weight of the near-zero
emission or zero emission powertrain and the weight of a comparable
diesel tank and fueling system, up to 2,000 pounds. A ZEV is defined as
a vehicle that produces no criteria pollutant, toxic air contaminant, or
greenhouse gas emissions when stationary or operating. A near-ZEV is a
vehicle that uses zero emission technologies, uses technologies that
provide a pathway to zero emission operations, or incorporates other
technologies that significantly reduce vehicle emissions.

(Reference [Assembly Bill 1953, 2024](http://leginfo.legislature.ca.gov/faces/home.xhtml) and [California Business and Professions Code 12725 and California Vehicle Code 35551 and 35559](http://leginfo.legislature.ca.gov/faces/home.xhtml))",2018-09-20 00:00:00 UTC,2024-09-12 00:00:00 UTC,false,23,State Incentives,"",2018-10-10 12:58:42 UTC,,,,"",ELEC|HY|NG|PHEV,EXEM,"",FLEET|GOV|IND,http://leginfo.legislature.ca.gov/faces/home.xhtml|http://leginfo.legislature.ca.gov/faces/home.xhtml|http://leginfo.legislature.ca.gov/faces/home.xhtml,amended,2024-09-12
13506,DE,Residential Electric Vehicle (EV) Charger Incentive Requirement,"Delaware Sustainable Energy Utility is required to administer a program
that provides financial assistance to residents for the purchase and
installation of residential EV chargers. The program must offer
increased rebate amounts for low-income applicants. Additional
requirements apply.

(Reference [House Bill 13, 2024](https://delcode.delaware.gov/))",2024-09-05 00:00:00 UTC,,false,70,Laws and Regulations,"",2024-10-09 20:54:53 UTC,,,,"",ELEC,"","",OTHER,https://delcode.delaware.gov/,enacted,2024-09-05
13507,DE,State Fleet Zero Emissions Vehicle (ZEV) Acquisition Requirement ,"All light-duty and passenger state fleet vehicles must be ZEVs by 2040.
To support the state fleet transition to ZEVs, state agencies are
required to own and operate an increasing number of ZEVs every few
years, according to the following schedule:

::: {data-align=""center""}
Year
:::

Fleet ZEV Share

2026

15% of vehicles must be ZEVs

2029

25% of vehicles must be ZEVs

2032

50% of vehicles must be ZEVs

2040

100% of vehicles must be ZEVs

For the purpose of this requirement, ZEVs include electric vehicles,
hydrogen fuel cell electric vehicles, and plug-in hybrid electric
vehicles. Exemptions apply.

(Reference [House Bill 9, 2024](https://delcode.delaware.gov/))",2024-09-05 00:00:00 UTC,,false,73,Laws and Regulations,"",2024-10-11 00:41:30 UTC,,,,"",ELEC|PHEV,"",REQ,GOV,https://delcode.delaware.gov/,enacted,2024-09-05
13492,MO,Energy Provider Sales Tax Exemption,"Electric, natural gas, propane, and other energy source providers are
exempt from state sales tax. Additional requirements apply.

(Reference [Missouri Revised Statutes 144.010 and 144.058](https://revisor.mo.gov/main/Home.aspx))",2024-08-28 00:00:00 UTC,,false,37,State Incentives,"",2024-09-05 14:06:00 UTC,,,,"",ELEC|NG|PHEV|LPG,EXEM,"",STATION,https://revisor.mo.gov/main/Home.aspx,enacted,2024-08-28
13493,MO,Local Electric Vehicle (EV) Charger Installation Policy Restrictions,"No local government office or agency may adopt any ordinance,
resolution, regulation, code, or policy that requires the installation
of EV chargers or infrastructure in parking lots owned or leased by
churches or nonprofit organizations. Business and property owners may
still voluntarily install EV charging infrastructure.

(Reference [Missouri House Bill 2062, 2024](https://house.mo.gov/LegislationSP.aspx))",2024-08-28 00:00:00 UTC,,false,75,Laws and Regulations,"",2024-09-05 16:31:29 UTC,,,,"",ELEC|PHEV,"",OTHER,GOV,https://house.mo.gov/LegislationSP.aspx,enacted,2024-08-28
13523,IL,Clean Energy Infrastructure Ownership and Loan Authorization,"Government agencies may own, construct, improve, and operate new or
existing clean energy infrastructure projects, may purchase real estate
or property rights to be used for clean energy infrastructure projects,
and may charge for the public use of clean energy infrastructure.
Eligible projects include, but are not limited to, electric vehicle (EV)
chargers, EV repairs, and battery storage. The Illinois Finance
Authority (IFA) may offer loans to these agencies to finance the
eligible projects. Additional requirements may apply. For more
information, see the [IFA Climate Bank
Website](https://www.il-fa.com/programs/cb).

(Reference [Senate Bill 3597, 2024](https://www.ilga.gov/))",2024-08-09 00:00:00 UTC,,false,205,Laws and Regulations,"",2024-10-29 17:01:45 UTC,,,,"",ELEC|PHEV,"",OTHER,GOV,https://www.ilga.gov/,enacted,2024-08-09
13524,IL,State Park Electric Vehicle (EV) Charger Installation Authorization,"The Illinois Department of Natural Resources (IDNR) may install at least
one EV charger at state parks and other property owned by IDNR where
adequate electrical service reasonably permits. IDNR may charge user
fees for EV charging at these locations. IDNR may also adopt and publish
specifications for EV charger infrastructure and fee collection at state
parks and other property owned by the Department.

(Reference [20 Illinois Compiled Statutes 805/805-580](https://www.ilga.gov/legislation/ilcs/ilcs.asp) and [House Bill 5511, 2024](https://www.ilga.gov/))",2024-08-09 00:00:00 UTC,,false,210,Laws and Regulations,"",2024-10-29 17:04:10 UTC,,,,"",ELEC|PHEV,"",REQ,GOV,https://www.ilga.gov/legislation/ilcs/ilcs.asp|https://www.ilga.gov/,enacted,2024-08-09
12516,MD,Alternative Fuel Vehicle (AFV) Grants,"The Clean Fuels Incentive Program (CFIP), administered by the Maryland
Energy Administration (MEA), provides grants to fleets for the retrofit
or purchase of new AFVs. Grant award amounts vary and may cover up to
100% of the incremental AFV cost. Grants are available in the following
amounts:

::: {align=""center""}
  AFV Technology                                           Vehicle Class   Maximum Grant Award per Vehicle
  -------------------------------------------------------- --------------- ---------------------------------
  Electric Vehicles                                        Class 1-2       \$5,000
  Natural Gas, Propane, Biodiesel, and Hydrogen Vehicles   Class 1-2       \$7,500
  Natural Gas, Propane, and Biodiesel Vehicles             Class 3-8       \$50,000
  Electric and Hydrogen Vehicles                           Class 3-7       \$80,000
  Electric and Hydrogen Vehicles                           Class 8         \$150,000
:::

Eligible applicants must be a fleet vehicle operator or purchaser and
may include school districts, nonprofits, commercial entities,
corporations, and local and municipal governments. AFVs purchased for
individual or personal use are ineligible. Vehicles receiving funding
from other state programs are ineligible. Grants will be awarded on a
competitive basis, with equity and environmental justice considerations
as part of the evaluation criteria. For more information, including
additional eligibility criteria, see MEA's [CFIP
Program](https://energy.maryland.gov/transportation/Pages/Clean-Fuels-Incentive-Program.aspx)
website.
",,,false,5,State Incentives,"",2022-03-10 19:29:09 UTC,,2024-08-05 00:00:00 UTC,,"",BIOD|ELEC|HY|NG|LPG,GNT,"",FLEET|GOV|OTHER,"",archived,2024-08-05
12220,MT,Public Utility Electric Vehicle (EV) Charging Station Authorization,"Montana utilities joined the National Electric Highway Coalition (NEHC),
committing to create a network of direct current fast charging (DCFC)
charging stations connecting major highway systems from the Atlantic
Coast to the Pacific of the United States. NEHC utility members agree to
ensure efficient and effective fast charging deployment plans that
enable long distance EV travel, avoiding duplication among coalition
utilities, and complement existing corridor DCFC sites. For more
information, including a list of participating utilities and states, see
the [NEHC](https://www.eei.org/issuesandpolicy/Pages/NEHC.aspx) website.
",2019-05-10 00:00:00 UTC,,false,42,Laws and Regulations,"",2019-06-07 15:17:33 UTC,,2024-08-05 00:00:00 UTC,,"",ELEC|PHEV,"",OTHER,STATION,https://leg.mt.gov/,archived,2024-08-05
13522,PA,Alternative Fuel Tax Exemption for Electric Vehicles (EVs),"Beginning January 1, 2025, EVs that are subject to the annual [EV
registration fee](https://afdc.energy.gov/laws/13521) are exempt from
the [Alternative Fuels Tax](https://afdc.energy.gov/laws/5376).

(Reference [Senate Bill 656, 2024](https://www.legis.state.pa.us/cfdocs/legis/home/bills/))",2024-07-11 00:00:00 UTC,,false,45,State Incentives,"",2024-10-24 15:01:07 UTC,,,,"",ELEC|PHEV,EXEM|TAX,"",IND,https://www.legis.state.pa.us/cfdocs/legis/home/bills/,enacted,2024-07-11
